GroupNum;GroupType;TypeTest;PartID;Partner;Round;Shape;KeyPressed;PositionItem;ChosenItem;ACC;Word;ID_CG;index;pair
2;HM;block1_passive_exp;1;NA;0;5;NA;NA;NA;NA;nekuki;0;1;NA
2;HM;block1_passive_exp;1;NA;0;3;NA;NA;NA;NA;esip;0;2;NA
2;HM;block1_passive_exp;1;NA;0;4;NA;NA;NA;NA;puak;0;3;NA
2;HM;block1_passive_exp;1;NA;0;1;NA;NA;NA;NA;nus;0;4;NA
2;HM;block1_passive_exp;1;NA;0;2;NA;NA;NA;NA;kesip;0;5;NA
2;HM;block1_passive_exp;1;NA;0;6;NA;NA;NA;NA;anap;0;6;NA
2;HM;block1_passive_exp;1;NA;0;7;NA;NA;NA;NA;aike;0;7;NA
2;HM;block1_passive_exp;1;NA;0;0;NA;NA;NA;NA;nusa;0;8;NA
2;HM;block2_passive_exp;1;NA;0;6;NA;NA;NA;NA;anap;0;9;NA
2;HM;block2_passive_exp;1;NA;0;1;NA;NA;NA;NA;nus;0;10;NA
2;HM;block2_passive_exp;1;NA;0;4;NA;NA;NA;NA;puak;0;11;NA
2;HM;block2_passive_exp;1;NA;0;5;NA;NA;NA;NA;nekuki;0;12;NA
2;HM;block2_passive_exp;1;NA;0;7;NA;NA;NA;NA;aike;0;13;NA
2;HM;block2_passive_exp;1;NA;0;3;NA;NA;NA;NA;esip;0;14;NA
2;HM;block2_passive_exp;1;NA;0;0;NA;NA;NA;NA;nusa;0;15;NA
2;HM;block2_passive_exp;1;NA;0;2;NA;NA;NA;NA;kesip;0;16;NA
2;HM;testing_set;1;NA;0;6;NA;NA;NA;0;puak;0;17;NA
2;HM;testing_set;1;NA;0;3;NA;NA;NA;0;nepik;0;18;NA
2;HM;testing_set;1;NA;0;0;NA;NA;NA;0;puek;0;19;NA
2;HM;testing_set;1;NA;0;7;NA;NA;NA;1;aike;0;20;NA
2;HM;testing_set;1;NA;0;2;NA;NA;NA;0;nekip;0;21;NA
2;HM;testing_set;1;NA;0;5;NA;NA;NA;0;pekuke;0;22;NA
2;HM;testing_set;1;NA;0;1;NA;NA;NA;1;nus;0;23;NA
2;HM;testing_set;1;NA;0;4;NA;NA;NA;0;ekip;0;24;NA
2;HM;final_testing;1;NA;0;4;NA;NA;NA;NA;kapi;0;169;NA
2;HM;final_testing;1;NA;0;1;NA;NA;NA;NA;nus;0;170;NA
2;HM;final_testing;1;NA;0;5;NA;NA;NA;NA;nekuki;0;171;NA
2;HM;final_testing;1;NA;0;3;NA;NA;NA;NA;peuk;0;172;NA
2;HM;final_testing;1;NA;0;7;NA;NA;NA;NA;aike;0;173;NA
2;HM;final_testing;1;NA;0;0;NA;NA;NA;NA;nuna;0;174;NA
2;HM;final_testing;1;NA;0;2;NA;NA;NA;NA;kesip;0;175;NA
2;HM;final_testing;1;NA;0;6;NA;NA;NA;NA;asap;0;176;NA
2;HM;block1_passive_exp;2;NA;0;1;NA;NA;NA;NA;nus;0;1;NA
2;HM;block1_passive_exp;2;NA;0;6;NA;NA;NA;NA;anap;0;2;NA
2;HM;block1_passive_exp;2;NA;0;5;NA;NA;NA;NA;nekuki;0;3;NA
2;HM;block1_passive_exp;2;NA;0;4;NA;NA;NA;NA;puak;0;4;NA
2;HM;block1_passive_exp;2;NA;0;7;NA;NA;NA;NA;aike;0;5;NA
2;HM;block1_passive_exp;2;NA;0;0;NA;NA;NA;NA;nusa;0;6;NA
2;HM;block1_passive_exp;2;NA;0;2;NA;NA;NA;NA;kesip;0;7;NA
2;HM;block1_passive_exp;2;NA;0;3;NA;NA;NA;NA;esip;0;8;NA
2;HM;block2_passive_exp;2;NA;0;3;NA;NA;NA;NA;esip;0;9;NA
2;HM;block2_passive_exp;2;NA;0;0;NA;NA;NA;NA;nusa;0;10;NA
