BlockName, StimPos, tasktype, letterstim, numberstim, switch, acc, time
letters,right,letter,U,1,1,1,0.954849
letters,left,letter,E,4,0,1,2.129025
letters,right,letter,T,6,0,1,0.824410
letters,left,letter,G,3,0,1,0.692526
letters,right,letter,R,1,0,1,1.018087
letters,left,letter,T,2,0,1,0.551981
letters,right,letter,E,1,0,1,0.655624
letters,left,letter,R,1,0,1,0.476238
letters,right,letter,U,4,0,1,0.523979
letters,left,letter,E,8,0,0,0.448989
letters,right,letter,U,5,0,1,0.000124
letters,left,letter,E,2,0,1,1.102077
letters,right,letter,C,5,0,1,0.589278
letters,left,letter,E,7,0,1,0.609311
letters,right,letter,U,3,0,1,1.000655
letters,left,letter,R,5,0,1,0.795408
letters,right,letter,A,7,0,1,0.852477
letters,left,letter,G,2,0,1,0.979582
letters,right,letter,C,8,0,1,0.817746
letters,left,letter,T,6,0,1,0.470643
letters,right,letter,R,4,0,1,0.587610
letters,left,letter,G,6,0,1,0.432506
letters,right,letter,C,3,0,1,0.823157
letters,left,letter,R,2,0,1,0.429671
letters,right,letter,I,2,0,1,0.679062
letters,left,letter,I,7,0,1,0.527524
letters,right,letter,C,3,0,1,0.706934
letters,left,letter,G,6,0,1,1.337885
letters,right,letter,T,8,0,1,0.546024
letters,left,letter,T,5,0,1,0.454471
letters,right,letter,I,1,0,1,0.646558
letters,left,letter,A,4,0,1,0.586251
letters,right,letter,G,8,0,1,0.563305
letters,left,letter,I,6,0,1,0.590255
letters,right,letter,A,3,0,1,0.832100
letters,left,letter,A,4,0,1,0.489910
letters,right,letter,C,8,0,1,0.649092
letters,left,letter,U,7,0,1,0.671083
letters,right,letter,A,5,0,1,0.706046
letters,left,letter,I,7,0,1,0.597998
numbers,right,number,C,6,1,1,1.866419
numbers,left,number,R,3,0,1,0.620641
numbers,right,number,T,1,0,1,1.121947
numbers,left,number,T,2,0,1,0.588976
numbers,right,number,T,5,0,1,0.626835
numbers,left,number,A,6,0,1,0.543044
numbers,right,number,E,1,0,1,0.482977
numbers,left,number,C,5,0,1,0.560898
numbers,right,number,I,2,0,1,0.052405
numbers,left,number,G,3,0,1,0.923201
numbers,right,number,R,5,0,1,0.570481
numbers,left,number,A,8,0,1,0.545136
numbers,right,number,G,1,0,1,0.702257
numbers,left,number,T,4,0,1,0.583174
numbers,right,number,U,4,0,1,0.610110
numbers,left,number,U,4,0,1,0.433629
numbers,right,number,U,1,0,1,0.591573
numbers,left,number,E,6,0,1,0.502795
numbers,right,number,A,5,0,1,0.555644
numbers,left,number,E,4,0,1,0.536809
numbers,right,number,C,8,0,1,0.564372
numbers,left,number,I,3,0,1,0.607305
numbers,right,number,U,7,0,1,0.701613
numbers,left,number,A,8,0,1,0.546011
numbers,right,number,E,2,0,1,0.607468
numbers,left,number,I,6,0,1,0.673767
numbers,right,number,C,2,0,1,0.618447
numbers,left,number,C,8,0,1,0.490819
numbers,right,number,U,7,0,1,0.563817
numbers,left,number,I,6,0,1,0.527149
numbers,right,number,G,7,0,1,0.574726
numbers,left,number,R,1,0,1,0.611819
numbers,right,number,E,3,0,1,0.645539
numbers,left,number,A,7,0,1,0.640119
numbers,right,number,T,3,0,1,0.511815
numbers,left,number,I,4,0,1,0.596530
numbers,right,number,G,5,0,1,0.626722
numbers,left,number,G,2,0,1,0.566466
numbers,right,number,R,8,0,1,0.559445
numbers,left,number,R,7,0,1,0.504040
lettersnumbers,left,letter,R,7,1,1,4.146242
lettersnumbers,right,letter,T,1,0,1,1.833741
lettersnumbers,right,number,T,3,1,1,0.701702
lettersnumbers,left,number,G,2,0,0,0.918031
lettersnumbers,left,letter,C,2,1,0,2.300152
lettersnumbers,right,letter,I,4,0,1,10.916674
lettersnumbers,right,number,U,5,1,0,2.741825
lettersnumbers,left,number,A,1,0,1,0.000106
lettersnumbers,left,letter,T,6,1,1,3.806408
lettersnumbers,right,letter,C,5,0,1,1.784926
lettersnumbers,right,number,R,8,1,1,1.295634
lettersnumbers,left,number,A,3,0,1,1.372240
lettersnumbers,left,letter,G,6,1,1,1.123358
lettersnumbers,right,letter,T,6,0,1,0.934289
lettersnumbers,right,number,R,4,1,1,1.056959
lettersnumbers,left,number,U,4,0,1,0.988303
lettersnumbers,left,letter,U,1,1,0,0.911830
lettersnumbers,right,letter,U,4,0,1,0.000126
lettersnumbers,right,number,T,7,1,0,3.996205
lettersnumbers,left,number,A,2,0,1,2.005521
lettersnumbers,left,letter,I,5,1,1,1.983231
lettersnumbers,right,letter,R,2,0,1,1.065341
lettersnumbers,right,number,I,7,1,1,2.269154
lettersnumbers,left,number,G,3,0,1,1.020691
lettersnumbers,left,letter,U,7,1,1,1.486240
lettersnumbers,right,letter,E,3,0,1,0.784450
lettersnumbers,right,number,E,8,1,1,1.693758
lettersnumbers,left,number,G,5,0,1,0.828193
lettersnumbers,left,letter,I,4,1,1,1.329122
lettersnumbers,right,letter,E,8,0,1,0.900214
lettersnumbers,right,number,C,6,1,1,1.353978
lettersnumbers,left,number,I,3,0,1,1.752730
lettersnumbers,left,letter,A,8,1,1,1.653853
lettersnumbers,right,letter,C,5,0,1,0.735729
lettersnumbers,right,number,C,7,1,0,7.559765
lettersnumbers,left,number,R,1,0,1,1.388801
lettersnumbers,left,letter,A,8,1,1,2.606882
lettersnumbers,right,letter,G,1,0,1,0.942070
lettersnumbers,right,number,E,6,1,1,1.357498
lettersnumbers,left,number,E,2,0,1,1.066687
