GroupNum, GroupType, TypeTest, PartID, Partner, Round, Shape, KeyPressed, PositionItem, ChosenItem, GoodItem, ACC, Word, ID_CG
1,HM,block1_passive_exp,2,999,0,5,999,999,999,999,999,nekuki,0
1,HM,block1_passive_exp,2,999,0,3,999,999,999,999,999,esip,0
1,HM,block1_passive_exp,2,999,0,4,999,999,999,999,999,puak,0
1,HM,block1_passive_exp,2,999,0,1,999,999,999,999,999,nus,0
1,HM,block1_passive_exp,2,999,0,2,999,999,999,999,999,kesip,0
1,HM,block1_passive_exp,2,999,0,6,999,999,999,999,999,anap,0
1,HM,block1_passive_exp,2,999,0,7,999,999,999,999,999,aike,0
1,HM,block1_passive_exp,2,999,0,0,999,999,999,999,999,nusa,0
1,HM,block2_passive_exp,2,999,0,6,999,999,999,999,999,anap,0
1,HM,block2_passive_exp,2,999,0,1,999,999,999,999,999,nus,0
1,HM,block2_passive_exp,2,999,0,4,999,999,999,999,999,puak,0
1,HM,block2_passive_exp,2,999,0,5,999,999,999,999,999,nekuki,0
1,HM,block2_passive_exp,2,999,0,7,999,999,999,999,999,aike,0
1,HM,block2_passive_exp,2,999,0,3,999,999,999,999,999,esip,0
1,HM,block2_passive_exp,2,999,0,0,999,999,999,999,999,nusa,0
1,HM,block2_passive_exp,2,999,0,2,999,999,999,999,999,kesip,0
1,HM,testing_set,2,999,0,6,999,999,999,999,0,usap,0
1,HM,testing_set,2,999,0,3,999,999,999,999,0,aise,0
1,HM,testing_set,2,999,0,0,999,999,999,999,0,nasu,0
1,HM,testing_set,2,999,0,7,999,999,999,999,1,aike,0
1,HM,testing_set,2,999,0,2,999,999,999,999,0,pasu,0
1,HM,testing_set,2,999,0,5,999,999,999,999,0,nekaki,0
1,HM,testing_set,2,999,0,1,999,999,999,999,0,pasu,0
1,HM,testing_set,2,999,0,4,999,999,999,999,0,nesu,0
1,HM,ComGame_Guesser,2,1,1,3,3,0,1,3,0,none,0
1,HM,ComGame_Producer,2,1,1,7,999,999,999,999,999,aike,0
1,HM,ComGame_Guesser,2,1,1,6,7,1,4,6,0,none,1
1,HM,ComGame_Producer,2,1,1,2,999,999,999,999,999,sapu,1
1,HM,ComGame_Guesser,2,1,1,1,2,2,6,1,0,none,2
