GroupNum, GroupType, TypeTest, PartID, Partner, Round, Shape, KeyPressed, PositionItem, ChosenItem, GoodItem, ACC, Word, ID_CG
1,HT,block1_passive_exp,2,999,0,5,999,999,999,999,999,nekuki,0
1,HT,block1_passive_exp,2,999,0,3,999,999,999,999,999,esip,0
1,HT,block1_passive_exp,2,999,0,4,999,999,999,999,999,puak,0
1,HT,block1_passive_exp,2,999,0,1,999,999,999,999,999,nus,0
1,HT,block1_passive_exp,2,999,0,2,999,999,999,999,999,kesip,0
1,HT,block1_passive_exp,2,999,0,6,999,999,999,999,999,anap,0
1,HT,block1_passive_exp,2,999,0,7,999,999,999,999,999,aike,0
1,HT,block1_passive_exp,2,999,0,0,999,999,999,999,999,nusa,0
1,HT,block2_passive_exp,2,999,0,6,999,999,999,999,999,anap,0
1,HT,block2_passive_exp,2,999,0,1,999,999,999,999,999,nus,0
1,HT,block2_passive_exp,2,999,0,4,999,999,999,999,999,puak,0
1,HT,block2_passive_exp,2,999,0,5,999,999,999,999,999,nekuki,0
1,HT,block2_passive_exp,2,999,0,7,999,999,999,999,999,aike,0
1,HT,block2_passive_exp,2,999,0,3,999,999,999,999,999,esip,0
1,HT,block2_passive_exp,2,999,0,0,999,999,999,999,999,nusa,0
1,HT,block2_passive_exp,2,999,0,2,999,999,999,999,999,kesip,0
1,HT,testing_set,2,999,0,6,999,999,999,999,0,nuki,0
1,HT,testing_set,2,999,0,3,999,999,999,999,0,pasip,0
1,HT,testing_set,2,999,0,0,999,999,999,999,0,nuki,0
1,HT,testing_set,2,999,0,7,999,999,999,999,0,suka,0
1,HT,testing_set,2,999,0,2,999,999,999,999,0,nusip,0
1,HT,testing_set,2,999,0,5,999,999,999,999,0,pikak,0
1,HT,testing_set,2,999,0,1,999,999,999,999,0,nup,0
1,HT,testing_set,2,999,0,4,999,999,999,999,0,nukik,0
1,HT,ComGame_Guesser,2,1,1,3,8,0,2,3,0,none,0
1,HT,ComGame_Producer,2,1,1,7,999,999,999,999,999,nakik,0
1,HT,ComGame_Guesser,2,1,1,6,7,1,4,6,0,none,1
1,HT,ComGame_Producer,2,1,1,2,999,999,999,999,999,nasip,1
1,HT,ComGame_Guesser,2,1,1,1,3,2,1,1,1,none,2
1,HT,ComGame_Producer,2,1,1,4,999,999,999,999,999,suki,2
1,HT,ComGame_Guesser,2,1,1,5,6,3,0,5,0,none,3
1,HT,ComGame_Producer,2,1,1,0,999,999,999,999,999,eup,3
1,HT,ComGame_Guesser,2,1,1,7,5,4,7,7,1,none,4
1,HT,ComGame_Producer,2,1,1,5,999,999,999,999,999,eiup,4
1,HT,ComGame_Guesser,2,1,1,0,6,5,0,0,1,none,5
1,HT,ComGame_Producer,2,1,1,6,999,999,999,999,999,suk,5
1,HT,ComGame_Guesser,2,1,1,4,3,6,1,4,0,none,6
1,HT,ComGame_Producer,2,1,1,3,999,999,999,999,999,esip,6
1,HT,ComGame_Guesser,2,1,1,2,2,7,6,2,0,none,7
1,HT,ComGame_Producer,2,1,1,1,999,999,999,999,999,sup,7
