BlockName, StimPos, tasktype, letterstim, numberstim, switch, acc, time
letters,right,letter,U,1,1,1,1.217364
letters,left,letter,E,4,0,1,0.948347
letters,right,letter,T,6,0,1,1.402260
letters,left,letter,G,3,0,1,0.684759
letters,right,letter,R,1,0,1,0.694880
letters,left,letter,T,2,0,1,0.740962
letters,right,letter,E,1,0,1,0.836322
letters,left,letter,R,1,0,1,0.715140
letters,right,letter,U,4,0,1,0.692219
letters,left,letter,E,8,0,1,0.707203
letters,right,letter,U,5,0,1,0.693744
letters,left,letter,E,2,0,1,0.658416
letters,right,letter,C,5,0,1,0.675082
letters,left,letter,E,7,0,1,0.683334
letters,right,letter,U,3,0,1,0.908708
letters,left,letter,R,5,0,1,0.605982
letters,right,letter,A,7,0,1,0.652913
letters,left,letter,G,2,0,1,0.654653
letters,right,letter,C,8,0,1,0.800167
letters,left,letter,T,6,0,1,1.068501
letters,right,letter,R,4,0,1,0.645710
letters,left,letter,G,6,0,1,0.525500
letters,right,letter,C,3,0,1,0.888565
letters,left,letter,R,2,0,1,0.496668
letters,right,letter,I,2,0,1,0.661455
letters,left,letter,I,7,0,1,0.596077
letters,right,letter,C,3,0,1,0.607418
letters,left,letter,G,6,0,1,0.642474
letters,right,letter,T,8,0,1,0.696821
letters,left,letter,T,5,0,1,0.499471
letters,right,letter,I,1,0,1,0.690382
letters,left,letter,A,4,0,1,0.590935
letters,right,letter,G,8,0,1,0.728431
letters,left,letter,I,6,0,1,0.606054
letters,right,letter,A,3,0,1,0.664175
letters,left,letter,A,4,0,1,0.619198
letters,right,letter,C,8,0,1,0.714713
letters,left,letter,U,7,0,1,1.335741
letters,right,letter,A,5,0,1,0.573999
letters,left,letter,I,7,0,1,0.581479
numbers,right,number,C,6,1,1,1.875101
numbers,left,number,R,3,0,1,0.940714
numbers,right,number,T,1,0,1,0.996926
numbers,left,number,T,2,0,1,0.761202
numbers,right,number,T,5,0,1,1.476841
numbers,left,number,A,6,0,1,1.835644
numbers,right,number,E,1,0,1,0.989386
numbers,left,number,C,5,0,1,1.133849
numbers,right,number,I,2,0,1,0.997750
numbers,left,number,G,3,0,1,0.703745
numbers,right,number,R,5,0,1,1.167569
numbers,left,number,A,8,0,1,0.783724
numbers,right,number,G,1,0,1,0.825947
numbers,left,number,T,4,0,1,0.687163
numbers,right,number,U,4,0,1,0.787315
numbers,left,number,U,4,0,1,0.708314
numbers,right,number,U,1,0,1,0.680474
numbers,left,number,E,6,0,1,1.054475
numbers,right,number,A,5,0,1,0.697393
numbers,left,number,E,4,0,1,0.814481
numbers,right,number,C,8,0,1,0.764768
numbers,left,number,I,3,0,1,0.679470
numbers,right,number,U,7,0,1,1.691093
numbers,left,number,A,8,0,1,0.706134
numbers,right,number,E,2,0,1,0.779210
numbers,left,number,I,6,0,1,0.995775
numbers,right,number,C,2,0,1,0.658770
numbers,left,number,C,8,0,1,0.671839
numbers,right,number,U,7,0,1,0.586011
numbers,left,number,I,6,0,1,0.668047
numbers,right,number,G,7,0,1,0.634153
numbers,left,number,R,1,0,1,0.817803
numbers,right,number,E,3,0,1,0.804673
numbers,left,number,A,7,0,1,0.729601
numbers,right,number,T,3,0,1,0.943250
numbers,left,number,I,4,0,1,0.615260
numbers,right,number,G,5,0,1,0.690993
numbers,left,number,G,2,0,1,0.774864
numbers,right,number,R,8,0,1,0.743983
numbers,left,number,R,7,0,1,0.557536
lettersnumbers,left,letter,R,7,1,1,3.296323
lettersnumbers,right,letter,T,1,0,1,0.966717
lettersnumbers,right,number,T,3,1,1,3.067656
lettersnumbers,left,number,G,2,0,1,0.886398
lettersnumbers,left,letter,C,2,1,1,1.891855
lettersnumbers,right,letter,I,4,0,1,0.643617
lettersnumbers,right,number,U,5,1,1,2.445886
lettersnumbers,left,number,A,1,0,1,0.935262
lettersnumbers,left,letter,T,6,1,1,1.705064
lettersnumbers,right,letter,C,5,0,1,1.447440
lettersnumbers,right,number,R,8,1,1,1.477799
lettersnumbers,left,number,A,3,0,1,1.142639
lettersnumbers,left,letter,G,6,1,1,1.406801
lettersnumbers,right,letter,T,6,0,1,0.792788
lettersnumbers,right,number,R,4,1,1,1.114009
lettersnumbers,left,number,U,4,0,1,0.771071
lettersnumbers,left,letter,U,1,1,1,1.211837
lettersnumbers,right,letter,U,4,0,1,0.646894
lettersnumbers,right,number,T,7,1,1,1.330673
lettersnumbers,left,number,A,2,0,1,0.749857
lettersnumbers,left,letter,I,5,1,1,1.177597
lettersnumbers,right,letter,R,2,0,1,0.769238
lettersnumbers,right,number,I,7,1,0,3.118953
lettersnumbers,left,number,G,3,0,1,0.000105
lettersnumbers,left,letter,U,7,1,1,1.747518
lettersnumbers,right,letter,E,3,0,1,0.602095
lettersnumbers,right,number,E,8,1,1,2.874377
lettersnumbers,left,number,G,5,0,1,0.863996
lettersnumbers,left,letter,I,4,1,1,0.934988
lettersnumbers,right,letter,E,8,0,1,1.589856
lettersnumbers,right,number,C,6,1,0,1.379112
lettersnumbers,left,number,I,3,0,1,1.385501
lettersnumbers,left,letter,A,8,1,1,1.274003
lettersnumbers,right,letter,C,5,0,1,0.833777
lettersnumbers,right,number,C,7,1,1,1.713553
lettersnumbers,left,number,R,1,0,1,0.942830
lettersnumbers,left,letter,A,8,1,1,1.083576
lettersnumbers,right,letter,G,1,0,1,0.662451
lettersnumbers,right,number,E,6,1,1,1.504684
lettersnumbers,left,number,E,2,0,1,0.711558
