BlockName, StimPos, tasktype, letterstim, numberstim, switch, acc, time
letters,right,letter,U,1,1,1,1.021327
letters,left,letter,E,4,0,1,1.068119
letters,right,letter,T,6,0,1,0.653194
letters,left,letter,G,3,0,1,0.666691
letters,right,letter,R,1,0,1,0.655464
letters,left,letter,T,2,0,1,0.619434
letters,right,letter,E,1,0,1,0.523386
letters,left,letter,R,1,0,1,0.456608
letters,right,letter,U,4,0,1,0.760804
letters,left,letter,E,8,0,1,0.604822
letters,right,letter,U,5,0,1,0.676107
letters,left,letter,E,2,0,1,0.502707
letters,right,letter,C,5,0,1,0.656274
letters,left,letter,E,7,0,1,0.530223
letters,right,letter,U,3,0,0,0.545891
letters,left,letter,R,5,0,0,0.000116
letters,right,letter,A,7,0,0,0.000093
letters,left,letter,G,2,0,0,0.000112
letters,right,letter,C,8,0,1,0.000105
letters,left,letter,T,6,0,1,0.823592
letters,right,letter,R,4,0,1,0.835996
letters,left,letter,G,6,0,1,0.656759
letters,right,letter,C,3,0,1,1.032705
letters,left,letter,R,2,0,1,0.632273
letters,right,letter,I,2,0,1,0.580243
letters,left,letter,I,7,0,1,0.515642
letters,right,letter,C,3,0,1,0.580222
letters,left,letter,G,6,0,0,0.395598
letters,right,letter,T,8,0,1,0.000085
letters,left,letter,T,5,0,1,0.853545
letters,right,letter,I,1,0,1,0.662152
letters,left,letter,A,4,0,1,0.629616
letters,right,letter,G,8,0,1,0.788197
letters,left,letter,I,6,0,1,0.575921
letters,right,letter,A,3,0,1,0.697057
letters,left,letter,A,4,0,1,0.477050
letters,right,letter,C,8,0,1,0.644914
letters,left,letter,U,7,0,1,0.443909
letters,right,letter,A,5,0,1,0.423289
letters,left,letter,I,7,0,1,0.450833
numbers,right,number,C,6,1,1,1.554041
numbers,left,number,R,3,0,1,0.859621
numbers,right,number,T,1,0,1,0.592723
numbers,left,number,T,2,0,1,0.716202
numbers,right,number,T,5,0,1,0.702794
numbers,left,number,A,6,0,1,0.696544
numbers,right,number,E,1,0,1,0.740491
numbers,left,number,C,5,0,1,0.720290
numbers,right,number,I,2,0,1,0.705010
numbers,left,number,G,3,0,1,0.738916
numbers,right,number,R,5,0,1,0.839272
numbers,left,number,A,8,0,1,0.668934
numbers,right,number,G,1,0,1,0.634928
numbers,left,number,T,4,0,1,0.727370
numbers,right,number,U,4,0,1,0.574181
numbers,left,number,U,4,0,1,0.640181
numbers,right,number,U,1,0,1,0.640639
numbers,left,number,E,6,0,1,0.688435
numbers,right,number,A,5,0,1,0.576736
numbers,left,number,E,4,0,1,0.573254
numbers,right,number,C,8,0,1,0.886473
numbers,left,number,I,3,0,1,0.706630
numbers,right,number,U,7,0,1,0.761211
numbers,left,number,A,8,0,1,0.625018
numbers,right,number,E,2,0,1,0.826877
numbers,left,number,I,6,0,1,0.735942
numbers,right,number,C,2,0,1,0.566074
numbers,left,number,C,8,0,1,0.579181
numbers,right,number,U,7,0,1,0.566806
numbers,left,number,I,6,0,1,0.672188
numbers,right,number,G,7,0,1,0.639715
numbers,left,number,R,1,0,1,0.608931
numbers,right,number,E,3,0,1,0.743223
numbers,left,number,A,7,0,1,0.636977
numbers,right,number,T,3,0,1,0.696586
numbers,left,number,I,4,0,0,0.576060
numbers,right,number,G,5,0,1,1.206058
numbers,left,number,G,2,0,1,0.677077
numbers,right,number,R,8,0,1,0.738825
numbers,left,number,R,7,0,1,0.547410
lettersnumbers,left,letter,R,7,1,1,1.378596
lettersnumbers,right,letter,T,1,0,1,1.208635
lettersnumbers,right,number,T,3,1,1,1.468404
lettersnumbers,left,number,G,2,0,1,0.918637
lettersnumbers,left,letter,C,2,1,1,1.671853
lettersnumbers,right,letter,I,4,0,1,1.559586
lettersnumbers,right,number,U,5,1,1,1.641640
lettersnumbers,left,number,A,1,0,1,0.900163
lettersnumbers,left,letter,T,6,1,1,1.584212
lettersnumbers,right,letter,C,5,0,1,1.081261
lettersnumbers,right,number,R,8,1,1,1.255138
lettersnumbers,left,number,A,3,0,1,1.346447
lettersnumbers,left,letter,G,6,1,1,1.748960
lettersnumbers,right,letter,T,6,0,1,1.171180
lettersnumbers,right,number,R,4,1,1,1.527296
lettersnumbers,left,number,U,4,0,1,1.096011
lettersnumbers,left,letter,U,1,1,1,1.886770
lettersnumbers,right,letter,U,4,0,1,0.901243
lettersnumbers,right,number,T,7,1,1,1.611490
lettersnumbers,left,number,A,2,0,1,0.690874
lettersnumbers,left,letter,I,5,1,1,1.979431
lettersnumbers,right,letter,R,2,0,1,0.757838
lettersnumbers,right,number,I,7,1,1,1.944172
lettersnumbers,left,number,G,3,0,1,0.689800
lettersnumbers,left,letter,U,7,1,0,0.252741
lettersnumbers,right,letter,E,3,0,1,0.834776
lettersnumbers,right,number,E,8,1,1,1.246017
lettersnumbers,left,number,G,5,0,1,0.709435
lettersnumbers,left,letter,I,4,1,1,1.582807
lettersnumbers,right,letter,E,8,0,1,0.855176
lettersnumbers,right,number,C,6,1,1,1.120372
lettersnumbers,left,number,I,3,0,1,0.724848
lettersnumbers,left,letter,A,8,1,1,1.027468
lettersnumbers,right,letter,C,5,0,1,1.221349
lettersnumbers,right,number,C,7,1,0,1.289721
lettersnumbers,left,number,R,1,0,1,1.157318
lettersnumbers,left,letter,A,8,1,1,1.314735
lettersnumbers,right,letter,G,1,0,1,0.662801
lettersnumbers,right,number,E,6,1,1,2.592255
lettersnumbers,left,number,E,2,0,1,1.750825
